1676842090303	10618,66,270958592	10637,5,316801024	10656,0,280805376	10679,46,313311232
1676842091303	10618,65,270958592	10637,4,316801024	10656,1,280805376	10679,44,313311232
1676842092305	10618,66,270958592	10637,5,316801024	10656,0,280805376	10679,45,313311232
1676842093307	10618,63,270958592	10637,5,316882944	10656,1,280805376	10679,41,313311232
1676842094309	10618,53,270958592	10637,3,316882944	10656,0,280805376	10679,38,313311232
1676842095310	10618,50.495049504950494,270958592	10637,3.9603960396039604,316882944	10656,0,280805376	10679,34.65346534653465,313311232
1676842096313	10618,67,270958592	10637,3,316882944	10656,0,280805376	10679,63,329797632
1676842097314	10618,71,270958592	10637,4,316882944	10656,0,280805376	10679,48,329797632
1676842098314	10618,72,271220736	10637,5,317145088	10656,2,280805376	10679,48,329875456
1676842099315	10618,69,271220736	10637,4,317145088	10656,0,280805376	10679,47,329875456
1676842100316	10618,66,271220736	10637,5,317145088	10656,20,280879104	10679,33,329875456
1676842101317	10618,52,271310848	10637,5,317145088	10656,56.99999999999999,280879104	10679,9,329945088
1676842102318	10618,45,271310848	10637,4,317145088	10656,11,280879104	10679,23,329945088
1676842103320	10618,49.504950495049506,271310848	10637,7.920792079207921,317210624	10656,78.21782178217822,286273536	10679,14.85148514851485,329945088
1676842104321	10618,59,271310848	10637,5,317210624	10656,1,286355456	10679,48,329945088
1676842105322	10618,51,271310848	10637,5,317210624	10656,1,286355456	10679,37,330027008
1676842106324	10618,65,271310848	10637,3,317210624	10656,0,286355456	10679,45,330027008
1676842107329	10618,56.99999999999999,271310848	10637,4,317210624	10656,1,285884416	10679,34,330027008
1676842108331	10618,100.99009900990099,271552512	10637,10.891089108910892,317165568	10656,0,0	10679,59.4059405940594,330027008
1676842109332	10618,55.00000000000001,271552512	10637,3,317165568	10656,0,0	10679,32,330027008
1676842110333	10618,62,271552512	10637,6,317165568	10656,0,0	10679,41,330502144
1676842111335	10618,72,271634432	10637,4,317243392	10656,0,0	10679,49,330502144
1676842112339	10618,87,271634432	10637,12,317243392	10656,0,0	10679,48,330502144
1676842113342	10618,98.01980198019803,271896576	10637,8.91089108910891,317243392	10656,0,0	10679,45.54455445544555,330502144
1676842114345	10618,81,272166912	10637,4,317243392	10656,0,0	10679,51,330502144
1676842115347	10618,77,272318464	10637,4,317386752	10656,0,0	10679,55.00000000000001,330502144
1676842116351	10618,88,272318464	10637,6,317386752	10656,0,0	10679,64,330575872
1676842117354	10618,80.19801980198021,272457728	10637,3.9603960396039604,317386752	10656,0,0	10679,58.415841584158414,330575872
1676842118356	10618,70,272637952	10637,5,317386752	10656,0,0	10679,52,330575872
1676842119358	10618,81,276672512	10637,6,317464576	10656,0,0	10679,55.00000000000001,330575872
1676842120360	10618,80.19801980198021,276672512	10637,22.772277227722775,317464576	10656,0,0	10679,49.504950495049506,330641408
1676842121361	10618,71,276672512	10637,5,317464576	10656,0,0	10679,49,330641408
1676842122362	10618,49,276672512	10637,2,317464576	10656,0,0	10679,31,330641408
1676842123363	10618,53,276672512	10637,4,317554688	10656,0,0	10679,41,330641408
1676842124365	10618,50,276672512	10637,4,317554688	10656,0,0	10679,35,330641408
1676842125366	10618,52,276848640	10637,3,317554688	10656,0,0	10679,36,330723328
1676842126366	10618,53,276848640	10637,3,317554688	10656,0,0	10679,39,330829824
1676842127367	10618,53,277024768	10637,2,317554688	10656,0,0	10679,34,330829824
1676842128367	10618,55.00000000000001,277024768	10637,5,317624320	10656,0,0	10679,36,330829824
1676842129369	10618,53,277127168	10637,3,317624320	10656,0,0	10679,33,330829824
1676842130370	10618,52.475247524752476,277127168	10637,2.9702970297029703,317624320	10656,0,0	10679,35.64356435643564,330829824
1676842131371	10618,53,277127168	10637,3,317624320	10656,0,0	10679,35,330829824
1676842132373	10618,56.00000000000001,277221376	10637,5,317624320	10656,0,0	10679,36,330829824
