1676842009053	9374,159,535162880	9393,18,295198720	9412,120,407068672	9431,83,346288128	9449,0,0	9486,0,0
1676842010054	9374,171,535384064	9393,6,295198720	9412,128,465326080	9431,87,346288128	9449,0,0	9486,0,0
1676842011056	9374,145,535502848	9393,5,295198720	9412,121,465326080	9431,104,346345472	9449,0,0	9486,0,0
1676842012059	9374,142,535502848	9393,12,295198720	9412,122,465326080	9431,86,346423296	9449,0,0	9486,0,0
1676842013064	9374,139.60396039603958,535502848	9393,4.9504950495049505,295198720	9412,116.83168316831683,465494016	9431,74.25742574257426,346423296	9449,0,0	9486,0,0
1676842014066	9374,144,535502848	9393,5,295198720	9412,114.99999999999999,465494016	9431,79,346492928	9449,0,0	9486,0,0
1676842015068	9374,142,535502848	9393,8,295198720	9412,114.99999999999999,465571840	9431,88,346492928	9449,0,0	9486,0,0
1676842016070	9374,143.56435643564356,535502848	9393,8.91089108910891,295198720	9412,121.78217821782178,465571840	9431,93.06930693069307,346492928	9449,0,0	9486,0,0
1676842017072	9374,143,535502848	9393,6,295198720	9412,122,465571840	9431,87,346492928	9449,0,0	9486,0,0
1676842018074	9374,141,535502848	9393,5,295272448	9412,112.99999999999999,465571840	9431,81,346492928	9449,0,0	9486,0,0
1676842019076	9374,142,535502848	9393,6,295272448	9412,114.99999999999999,465571840	9431,98,346578944	9449,0,0	9486,0,0
1676842020079	9374,144,535502848	9393,6,295272448	9412,117,465571840	9431,87,346578944	9449,0,0	9486,0,0
1676842021081	9374,141.58415841584159,535502848	9393,4.9504950495049505,295272448	9412,117.82178217821782,465571840	9431,86.13861386138613,346578944	9449,0,0	9486,0,0
1676842022082	9374,143,535502848	9393,6,295272448	9412,103,465653760	9431,76,346578944	9449,0,0	9486,0,0
1676842023084	9374,6,535502848	9393,1,295272448	9412,16,465653760	9431,9,346578944	9449,0,0	9486,0,0
1676842024086	9374,16,535658496	9393,1,295272448	9412,7.000000000000001,465653760	9431,3,346578944	9449,0,0	9486,0,0
1676842025088	9374,2,535658496	9393,2,295272448	9412,11,465653760	9431,8,346578944	9449,0,0	9486,0,0
1676842026089	9374,12,535658496	9393,0,295272448	9412,6,465735680	9431,5,346578944	9449,0,0	9486,0,0
1676842027090	9374,0.9900990099009901,535658496	9393,1.9801980198019802,295272448	9412,13.861386138613863,465735680	9431,7.920792079207921,346578944	9449,0,0	9486,0,0
1676842028092	9374,14.000000000000002,535658496	9393,1,295272448	9412,6,465735680	9431,3,346578944	9449,0,0	9486,0,0
1676842029096	9374,1,535658496	9393,1,295272448	9412,12,465735680	9431,7.000000000000001,346578944	9449,0,0	9486,0,0
1676842030097	9374,16,535736320	9393,3,295272448	9412,5,465735680	9431,3,346578944	9449,0,0	9486,0,0
1676842031100	9374,1,535736320	9393,2,295272448	9412,12,465735680	9431,8,346578944	9449,0,0	9486,0,0
1676842032101	9374,31.683168316831683,535736320	9393,2.9702970297029703,295518208	9412,24.752475247524753,465735680	9431,21.782178217821784,346578944	9449,0,0	9486,0,0
1676842033103	9374,158,535736320	9393,8,295518208	9412,118,465735680	9431,117,346578944	9449,0,0	9486,0,0
1676842034104	9374,3,535736320	9393,2,295518208	9412,20,465735680	9431,13,346578944	9449,0,0	9486,0,0
1676842035105	9374,25,535736320	9393,2,295518208	9412,18,465735680	9431,11,346578944	9449,0,0	9486,0,0
1676842036108	9374,138,535736320	9393,5,295518208	9412,88,465735680	9431,71,346578944	9449,0,0	9486,0,0
1676842037110	9374,1,535822336	9393,1,295518208	9412,15,465735680	9431,11,346578944	9449,0,0	9486,0,0
1676842038111	9374,28.71287128712871,535822336	9393,1.9801980198019802,295518208	9412,19.801980198019802,465735680	9431,13.861386138613863,346578944	9449,0,0	9486,0,0
1676842039112	9374,145,535822336	9393,10,295518208	9412,121,468447232	9431,105,346578944	9449,0,0	9486,0,0
1676842040113	9374,142,535822336	9393,6,295518208	9412,129,468750336	9431,111.00000000000001,346968064	9449,0,0	9486,0,0
1676842041116	9374,133,535822336	9393,4,295518208	9412,126,468750336	9431,90,387325952	9449,0,0	9486,0,0
1676842042119	9374,2,535822336	9393,0,0	9412,3,468750336	9431,3,387440640	9449,0,0	9486,0,0
